0 97 2932.1172796749652 1310402.3779296875 0.32385129255534739 |[[-0.4522108   0.55155497 -0.08031245]]|
1 674 41723.748469407452 21319534.952148438 0.39382887317874038 |[[-0.03472323  0.73801398 -0.13243242]]|
2 2183 124620.50811542815 34531972.453857422 0.45448886377315745 |[[ 0.5202783   0.81112537 -0.01448723]]|
3 2706 38977.896626587884 12669810.622070312 0.44204461445739945 |[[-0.45385768  0.66581625 -0.05151059]]|
4 3242 41580.381033525744 12388318.228820801 0.42497461899947786 |[[ 0.42979747  0.77643588 -0.10065219]]|
5 5693 208184.52404867555 51146649.55291748 0.35068805198929881 |[[ 0.79477152  0.85850882 -0.0406577 ]]|
6 6254 41680.897531974493 10462887.581115723 0.40493078195283566 |[[-0.65856105  0.86756676 -0.04053452]]|
7 6838 40643.198085109922 15648264.614318848 0.41367326379218272 |[[-0.73526452  0.82063708 -0.00843291]]|
8 7315 33116.090925791454 8417152.5573120117 0.34941421654381427 |[[-0.77022813  0.88953159 -0.00433019]]|
9 7470 11204.24454896825 5893947.8988037109 0.35544598962431556 |[[ 0.86324115  0.87450969 -0.03465115]]|
10 7999 34711.87869315326 10309826.848510742 0.33574166454155152 |[[ 0.8295766   0.9023669  -0.03882104]]|
11 8182 11568.541572276195 4441681.8172607422 0.34404886392607603 |[[-0.11182305  0.93780556 -0.01375479]]|
12 8670 32492.190861368454 14962601.461303711 0.35206236405675556 |[[-0.90331323  0.95901452 -0.00958246]]|
13 8790 7531.0966625836854 3180168.7694091797 0.35152269329546076 |[[  8.76490364e-01   9.56255874e-01  -6.65378238e-04]]|
14 8981 11297.224580299086 6910251.5816040039 0.30763394974983987 |[[-0.9152654   0.95370703 -0.00930272]]|
